channel,image,label,choice
atres,frame_atres_noche_2024-05-17_sec_1310.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1290.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1270.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1250.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1230.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1210.jpg,low_confidence_war,low_confidence_war
atres,frame_atres_noche_2024-05-17_sec_1190.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-17_sec_1170.jpg,low_confidence_war,low_confidence_war
atres,frame_atres_noche_2024-05-17_sec_1150.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1371.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1351.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1331.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1311.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1291.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1271.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1251.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1231.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-16_sec_1211.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_991.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_971.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_951.jpg,war,military
atres,frame_atres_noche_2024-05-15_sec_931.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_911.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_172.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_152.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_132.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_1072.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_1052.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_1032.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-15_sec_1012.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-14_sec_1252.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-14_sec_1232.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-14_sec_1212.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1552.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1532.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1512.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1492.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1472.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-13_sec_1452.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-12_sec_1372.jpg,war,military
atres,frame_atres_noche_2024-05-12_sec_1352.jpg,war,damaged_infrastructure
atres,frame_atres_noche_2024-05-12_sec_1332.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-12_sec_1312.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-12_sec_1292.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-12_sec_1272.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-10_sec_1433.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-10_sec_1413.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-10_sec_1393.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-09_sec_1493.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-09_sec_1473.jpg,not_war,not_war
atres,frame_atres_noche_2024-05-09_sec_1453.jpg,war,military
atres,frame_atres_noche_2024-05-08_sec_1493.jpg,not_war,not_war
